Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,72,6253,4225,3279,445,1026,26,1002,5579,264,2032
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src,72,6253,4225,3279,445,1026,26,1002,5579,264,2032
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\androidTest,1,13,8,6,0,2,0,3,6,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\androidTest\java,1,13,8,6,0,2,0,3,6,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\androidTest\java\tk,1,13,8,6,0,2,0,3,6,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\androidTest\java\tk\ubublik,1,13,8,6,0,2,0,3,6,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\androidTest\java\tk\ubublik\redivansion,1,13,8,6,0,2,0,3,6,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main,68,6113,4128,3201,437,995,26,990,5540,264,2032
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java,68,6113,4128,3201,437,995,26,990,5540,264,2032
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk,68,6113,4128,3201,437,995,26,990,5540,264,2032
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik,68,6113,4128,3201,437,995,26,990,5540,264,2032
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion,68,6113,4128,3201,437,995,26,990,5540,264,2032
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic,66,6017,4084,3164,437,974,25,959,5372,264,2032
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic\camera,1,385,256,201,26,52,0,77,336,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic\exceptions,1,12,4,3,0,5,0,3,8,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic\gems,8,1348,652,502,26,194,2,502,3757,264,2032
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic\graphics,8,984,764,599,116,168,3,52,202,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic\gui,3,101,66,56,0,22,2,13,55,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic\lifecycle,11,819,629,486,44,135,4,55,179,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic\test,3,164,119,111,3,31,2,14,82,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic\units,20,720,468,315,40,183,8,69,232,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic\units\objects,12,354,212,143,15,100,0,42,123,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\main\java\tk\ubublik\redivansion\gamelogic\utils,10,1243,1032,811,178,164,4,47,211,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\test,3,127,89,72,8,29,0,9,33,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\test\java,3,127,89,72,8,29,0,9,33,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\test\java\tk,3,127,89,72,8,29,0,9,33,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\test\java\tk\ubublik,3,127,89,72,8,29,0,9,33,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\test\java\tk\ubublik\redivansion,3,127,89,72,8,29,0,9,33,0,0
C:\Users\Bublik\GoogleDrive\Projects\GoogleProjects\Redivansion\app\src\test\java\tk\ubublik\redivansion\graphics,2,112,80,66,8,26,0,6,16,0,0
